video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
Beans And Plantain Waffles - no talking; a bit of ASMR cooking,PT5M5S,2024-05-19 16:30:10+00:00,83,10,7,2024-08-24 07:51:58.249011+00:00
"Zero Waste Lasagna | Non Traditional, Vegan, Enough To Feed An Army",PT3M43S,2024-05-12 17:00:15+00:00,256,17,0,2024-08-24 07:51:58.704662+00:00
Smoky Jollof Rice - I'll Show You How In Under 3 Minutes,PT2M39S,2024-05-05 17:00:04+00:00,569,33,6,2024-08-24 07:51:59.169575+00:00
No Bake Carrot Cake With Cashew Cream Frosting,PT5M24S,2024-04-28 17:50:08+00:00,190,17,3,2024-08-24 07:51:59.610627+00:00
Vegan Smash Cake For My Baby's First Birthday,PT7M20S,2024-04-21 16:26:59+00:00,286,14,5,2024-08-24 07:52:00.003867+00:00
Chinese Takeaway Curry Sauce | Quick and Easy Recipe,PT6M44S,2024-04-07 16:00:19+00:00,163,7,0,2024-08-24 07:52:00.426404+00:00
Top 5 Nigerian Snacks You Must Try,PT6M14S,2024-03-24 17:00:32+00:00,218,19,2,2024-08-24 07:52:00.837834+00:00
Making The Viral Fruity Chocolate Bites,PT3M44S,2024-03-17 17:00:12+00:00,531,19,3,2024-08-24 07:52:01.260828+00:00
Got Some Dates? Make This!,PT3M42S,2024-03-10 17:00:28+00:00,138,14,1,2024-08-24 07:52:01.680582+00:00
My Husband Makes ZOBO (Hibiscus Punch) | Vegan Nigerian Drink,PT1M52S,2024-03-03 17:00:19+00:00,131,19,2,2024-08-24 07:52:02.089844+00:00
Homemade Hobnobs  - Crunchy Oat Biscuits,PT3M3S,2024-02-25 17:00:14+00:00,361,20,0,2024-08-24 07:52:02.540195+00:00
My Vegan Nigerian Wedding,PT13M17S,2024-02-18 17:00:22+00:00,1545,82,15,2024-08-24 07:52:02.937156+00:00
Don't Make These Cheesy Sweet Potato Pancakes,PT3M6S,2024-02-11 17:00:32+00:00,105,7,2,2024-08-24 07:52:03.368716+00:00
Turn Rich Tea Biscuits Into A Cake With Only 3 Ingredients,PT3M16S,2024-02-04 17:00:02+00:00,512,12,6,2024-08-24 07:52:03.800633+00:00
The Best Vegan Madeleines  - Achieve The Signature Bump,PT2M54S,2024-01-28 17:00:36+00:00,201,12,5,2024-08-24 07:52:04.290813+00:00
Nigerian Buns Recipe  - Egg Free & Dairy Free,PT2M29S,2024-01-21 17:00:47+00:00,790,28,0,2024-08-24 07:52:04.708733+00:00
Is This The Best Vegan Whipped Cream? - Elmlea Plant Cream Review,PT3M25S,2024-01-14 17:00:43+00:00,1012,24,5,2024-08-24 07:52:05.087211+00:00
This Silky Corn Porridge Is Great For Your Gut - Ogi | Akamu | Pap,PT2M42S,2024-01-07 18:00:14+00:00,192,13,3,2024-08-24 07:52:05.509513+00:00
4 Creative Puff Puff Recipes || West African Vegan Snack,PT28M16S,2022-08-27 09:21:43+00:00,477,35,3,2024-08-24 07:52:05.896467+00:00
Dublan | Nigerian Hausa Snack,PT59S,2022-08-22 16:29:58+00:00,508,25,0,2024-08-24 07:52:06.321641+00:00
3 Ingredient Oreo Cake | Viral TikTok Recipe with NO OVEN,PT3M11S,2022-07-05 14:52:23+00:00,752,41,6,2024-08-24 07:52:06.773092+00:00
Vegan NKWOBI or ISI EWU using VChunks! Does it work???,PT5M2S,2021-09-26 15:00:11+00:00,576,37,3,2024-08-24 07:52:07.170670+00:00
Reduce High Blood Pressure With A Vegan Diet | Sherra Aguirre Interview,PT26M53S,2021-07-19 21:30:12+00:00,1828,67,5,2024-08-24 07:52:07.593013+00:00
"How Tracye McQuirter Helped 15,000 Black Women Go Vegan",PT24M,2021-06-28 15:09:50+00:00,932,61,14,2024-08-24 07:52:08.038605+00:00
4 Ingredient PLANTAIN WAFFLES | Easy Vegan Recipe,PT2M15S,2021-06-14 14:30:48+00:00,746,56,6,2024-08-24 07:52:08.539721+00:00
Best Vegan Food For Gut Health And How To Reduce Bloating,PT25M37S,2021-05-31 19:00:10+00:00,237,20,2,2024-08-24 07:52:08.934797+00:00
Vegan Flake Chocolate Bar | How to Make Flake / Twirl Chocolate | Attempt #1,PT4M23S,2021-05-23 08:16:00+00:00,1808,49,6,2024-08-24 07:52:09.360842+00:00
Baking Moin Moin Like A Cake | Easy Vegan + Gluten Free Recipe,PT3M7S,2021-05-18 15:30:16+00:00,703,34,5,2024-08-24 07:52:09.727651+00:00
Being Vegan Helps Me Grow & Be A Better Person | The Vegan Foode,PT20M55S,2021-05-10 15:00:03+00:00,173,16,1,2024-08-24 07:52:10.149490+00:00
"Vegan Nigerian ""Egg"" Stew | Oil Free & Healthy",PT3M30S,2021-05-03 17:12:10+00:00,730,56,10,2024-08-24 07:52:10.578366+00:00
