video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S,channel_name
BRITISH TRY AFRICAN FOOD|FUFU|EGUSI SOUP WITH TURKEY|EGUSI SOUP & FUFU|EGUSI SOUP|FUFU MUKBANG |ASMR,2023-06-13 06:20:02+00:00,355,,,2024-08-21 23:21:09.177226+00:00,0,2,17,ChefPlaysfootball
"ASMR BABY EATING FUFU,EGUSI SOUP WITH TURKEY|EGUSI SOUP AND FUFU|FUFU MUKBANG|ASMR|AFRICAN FOOD|FUFU",2023-06-09 06:36:11+00:00,62,,,2024-08-21 23:21:09.791778+00:00,0,2,11,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU|EGUSI SOUP WITH TURKEY|EGUSI SOUP & FUFU|EGUSI SOUP|FUFU MUKBANG |ASMR,2023-06-01 05:39:07+00:00,264,,,2024-08-21 23:21:10.881788+00:00,0,3,46,ChefPlaysfootball
BRITISH CITIZENSHIP CEREMONY 2023|MY WIFE UK CITIZENSHIP CEREMONY|BRITISH CITIZENSHIP|NATURALIZATION,2023-05-31 10:20:47+00:00,114,,,2024-08-21 23:21:11.489274+00:00,0,1,54,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU|OGBONO AND BITTER LEAF SOUP|EGUSI SOUP WITH CHICKEN|FUFU MUKBANG |ASMR,2023-05-25 10:04:52+00:00,287,,,2024-08-21 23:21:12.044380+00:00,0,3,15,ChefPlaysfootball
"ASMR BABY EATING FUFU, OGBONO AND BITTER LEAF SOUP|EGUSI SOUP WITH CHICKEN|FUFU MUKBANG|AFRICAN FOOD",2023-05-19 06:04:09+00:00,186,,,2024-08-21 23:21:13.065539+00:00,0,1,5,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU|OGBONO AND BITTER LEAF SOUP|EGUSI SOUP WITH CHICKEN|FUFU MUKBANG |ASMR,2023-05-14 07:17:44+00:00,503,,,2024-08-21 23:21:14.219442+00:00,0,4,35,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP|OKAZI SOUP|EDIKAIKONG SOUP|FISH|FUFU MUKBANG|FUFU |ASMR,2023-05-09 06:11:46+00:00,433,,,2024-08-21 23:21:15.518533+00:00,0,1,35,ChefPlaysfootball
"23 MONTHS OLD CUTE BABY EATING FUFU, FUFU AND AFANG SOUP WITH OKAZI |AFRICAN FOOD|NIGERIAN FOOD|ASMR",2023-05-05 05:56:29+00:00,40,,,2024-08-21 23:21:17.242879+00:00,0,2,41,ChefPlaysfootball
BRITISH TRY AFRICAN FOOD|FUFU AND AFANG SOUP|OKAZI SOUP|EDIKAIKONG SOUP|FISH|FUFU MUKBANG|FUFU |ASMR,2023-05-02 06:08:25+00:00,928,,,2024-08-21 23:21:18.256566+00:00,0,5,12,ChefPlaysfootball
