video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
Healthy Dinner Meal Prep Recipes - 3 Highly Nutritious Dinner Recipes - Zeelicious Foods,2024-06-01 12:30:05+00:00,10358,482,28,2024-08-24 07:42:00.482646+00:00,0,12,15
A Budget Friendly Healthy Dinner Recipe You Should Try - Zeelicious Foods,2024-05-11 12:30:04+00:00,17687,496,29,2024-08-24 07:42:00.883504+00:00,0,5,33
Healthy Breakfast Meal Prep Recipes - 3 High Protein Breakfast Recipes - Zeelicious Foods,2024-04-27 12:30:32+00:00,17191,789,53,2024-08-24 07:42:01.294384+00:00,0,14,56
Everything I Pack in My Lunch Bag for the Week - Lunch Bag Meal Ideas - Zeelicious Foods,2024-04-13 13:00:05+00:00,6035,284,17,2024-08-24 07:42:01.698809+00:00,0,5,3
2 Brand New Oat Recipes - Zeelicious Foods,2024-03-30 12:30:17+00:00,9194,544,33,2024-08-24 07:42:02.135554+00:00,0,4,7
"Everything I Pack in My Lunch Bag + Can N5,000 still Make a Pot of Nigerian Soup Today??",2024-03-23 12:30:02+00:00,7795,318,22,2024-08-24 07:42:02.574781+00:00,0,4,12
Celebrating ONE MILLION SUBSCRIBERS!🎉🎊Taking a Trip Down Memory Lane! Come With Me Zeeliciousfoods,2024-03-21 14:56:05+00:00,12905,1673,310,2024-08-24 07:42:02.981481+00:00,0,2,12
3 Recipes You Can Make Using a PINEAPPLE as the Star ingredient - Zeelicious Foods,2024-03-16 12:00:02+00:00,8663,454,28,2024-08-24 07:42:03.382419+00:00,0,8,14
Let’s Make My Simple Dinner Together - Fish & Plantain - Zeelicious Foods,2024-03-09 12:30:05+00:00,8216,422,18,2024-08-24 07:42:03.768676+00:00,0,6,17
"If you are struggling to eat healthy food, watch this video! #zeeliciousfoods #shorts",2024-03-04 15:14:49+00:00,4383,205,8,2024-08-24 07:42:04.212494+00:00,0,1,1
"If you are struggling to eat healthy food, watch this video!",2024-03-02 12:44:08+00:00,4305,219,13,2024-08-24 07:42:04.623872+00:00,0,1,1
This Chilli Oil is a Game Changer For Your Meal + How to Make My Healthy Spicy Noodles Recipe,2024-03-02 12:00:03+00:00,10959,479,16,2024-08-24 07:42:05.008294+00:00,0,4,50
What I eat in a day to maintain a healthy weight - Zeelicious Foods,2024-02-17 13:32:04+00:00,8102,272,14,2024-08-24 07:42:05.403774+00:00,0,1,13
"If you have plantains, then should definitely make this for dinner…!!! #zeeliciousfoods",2024-02-13 15:53:28+00:00,19049,539,24,2024-08-24 07:42:05.797507+00:00,0,1,45
Everything I Ate at the Safari Valley Resort in Ghana 🇬🇭 #wieiad #zeeliciousfoods,2024-02-10 14:16:27+00:00,4305,193,15,2024-08-24 07:42:06.194616+00:00,0,1,42
Another What I Eat in a Day Video (Ghana Edition 🇬🇭) - Zeelicious Foods #wieiad,2024-02-04 13:24:18+00:00,4720,199,13,2024-08-24 07:42:06.624855+00:00,0,1,29
My Ghanian Sister Put Me to a Test to Interprete the Twi Language 🤭 Zeelicious Foods #ghana,2024-02-02 13:39:12+00:00,4695,254,18,2024-08-24 07:42:07.039277+00:00,0,3,11
A Healthy Way to Make Eforiro (Nigerian Vegetable Soup) - Zeelicious Foods,2024-02-01 15:16:53+00:00,15674,327,22,2024-08-24 07:42:09.109527+00:00,0,1,31
What I Ate on My First Day in Accra Ghana 🇬🇭- Zeelicious Foods #wieiad,2024-01-29 14:21:45+00:00,5131,224,17,2024-08-24 07:42:09.493557+00:00,0,1,17
